1
    LCPFCT Test #1 - Constant V Convection:   step =   0 and TIME =  0.000
          with DX = 0.100 DT = 0.020 and VX = 0.500CFL = 0.100

    I     X(I)     Square    exact     Circle    exact   Gaussian    exact
   64   6.35000   1.00000   1.00000   0.35322   0.36723   0.03091   0.03147
   65   6.45000   1.00000   1.00000   0.41271   0.41438   0.03637   0.03646
   66   6.55000   1.00000   1.00000   0.45683   0.45579   0.04213   0.04210
   67   6.65000   1.00000   1.00000   0.49354   0.49291   0.04849   0.04846
   68   6.75000   1.00000   1.00000   0.52682   0.52667   0.05562   0.05561
   69   6.85000   1.00000   1.00000   0.55767   0.55767   0.06361   0.06361
   70   6.95000   1.00000   1.00000   0.58635   0.58635   0.07252   0.07252
   71   7.05000   1.00000   1.00000   0.61304   0.61304   0.08243   0.08242
   72   7.15000   1.00000   1.00000   0.63799   0.63798   0.09338   0.09338
   73   7.25000   1.00000   1.00000   0.66139   0.66138   0.10545   0.10545
   74   7.35000   1.00000   1.00000   0.68340   0.68340   0.11870   0.11870
   75   7.45000   1.00000   1.00000   0.70416   0.70415   0.13319   0.13319
   76   7.55000   1.00000   1.00000   0.72377   0.72377   0.14897   0.14897
   77   7.65000   1.00000   1.00000   0.74232   0.74232   0.16608   0.16608
   78   7.75000   1.00000   1.00000   0.75990   0.75990   0.18458   0.18458
   79   7.85000   1.00000   1.00000   0.77656   0.77656   0.20447   0.20447
   80   7.95000   1.00000   1.00000   0.79237   0.79237   0.22579   0.22579
   81   8.05000   1.00000   1.00000   0.80737   0.80737   0.24853   0.24854
   82   8.15000   1.00000   1.00000   0.82162   0.82161   0.27270   0.27270
   83   8.25000   1.00000   1.00000   0.83514   0.83514   0.29824   0.29825
   84   8.35000   1.00000   1.00000   0.84797   0.84797   0.32517   0.32516
   85   8.45000   1.00000   1.00000   0.86015   0.86015   0.35333   0.35336
   86   8.55000   1.00000   1.00000   0.87170   0.87170   0.38283   0.38279
   87   8.65000   1.00000   1.00000   0.88263   0.88264   0.41326   0.41333
   88   8.75000   1.00000   1.00000   0.89302   0.89301   0.44496   0.44489
   89   8.85000   1.00000   1.00000   0.90280   0.90281   0.47728   0.47734
   90   8.95000   1.00000   1.00000   0.91206   0.91206   0.51049   0.51051
   91   9.05000   1.00000   1.00000   0.92081   0.92079   0.54433   0.54424
   92   9.15000   1.00000   1.00000   0.92899   0.92901   0.57818   0.57834
   93   9.25000   1.00000   1.00000   0.93674   0.93673   0.61272   0.61263
   94   9.35000   1.00000   1.00000   0.94397   0.94396   0.64694   0.64687
   95   9.45000   1.00000   1.00000   0.95069   0.95072   0.68058   0.68084
   96   9.55000   1.00000   1.00000   0.95703   0.95701   0.71449   0.71431
   97   9.65000   1.00000   1.00000   0.96286   0.96284   0.74716   0.74703
   98   9.75000   1.00000   1.00000   0.96818   0.96823   0.77834   0.77875
   99   9.85000   1.00000   1.00000   0.97319   0.97317   0.80936   0.80923
  100   9.95000   1.00000   1.00000   0.97774   0.97768   0.83866   0.83821

 Conserved sums  10.00000  10.00000   7.85407   7.85406   4.41041   4.41041
 Absolute error   0.00000             0.06524             0.00832
1
    LCPFCT Test #1 - Constant V Convection:   step = 150 and TIME =  3.000
          with DX = 0.100 DT = 0.020 and VX = 0.500CFL = 0.100

    I     X(I)     Square    exact     Circle    exact   Gaussian    exact
    1   0.05000   1.00000   1.00000   0.95700   0.95701   0.71423   0.71431
    2   0.15000   1.00000   1.00000   0.96278   0.96284   0.74654   0.74703
    3   0.25000   1.00000   1.00000   0.96826   0.96823   0.77899   0.77875
    4   0.35000   1.00000   1.00000   0.97324   0.97317   0.80978   0.80923
    5   0.45000   1.00000   1.00000   0.97763   0.97768   0.83779   0.83821
    6   0.55000   1.00000   1.00000   0.98168   0.98177   0.86474   0.86546
    7   0.65000   1.00000   1.00000   0.98549   0.98543   0.89123   0.89074
